Titulo,Custo de Producao,Arrecadacao Bruta,Distribuidora,Genero,Diretor,Nota Rotten Tomatoes,Nota IMDB,Votos IMDB
The Prisoner of Zenda,12500000.0,7000000.0,Universal,Comedy,,,4.6,406.0
The Perez Family,11000000.0,2794056.0,Goldwyn Entertainment,Comedy,Mira Nair,67.0,6.0,1177.0
Q,1200000.0,255000.0,United Film Distribution Co.,Horror,,,6.1,1899.0
The Quick and the Dead,32000000.0,18552460.0,Sony Pictures,Western,Sam Raimi,56.0,6.3,27352.0
Quigley Down Under,20000000.0,21413105.0,MGM,Western,Simon Wincer,60.0,6.5,6001.0
La Guerre du feu,12500000.0,20959585.0,20th Century Fox,Adventure,Jean-Jacques Annaud,,7.4,6198.0
Quo Vadis?,8250000.0,30000000.0,,,,88.0,5.8,898.0
Rang De Basanti,5300000.0,29197694.0,UTV Communications,Drama,,,8.1,12116.0
Robin and Marian,5000000.0,8000000.0,,,,68.0,6.5,4800.0
Ransom,70000000.0,308700000.0,Walt Disney Pictures,Action,Ron Howard,70.0,6.6,38524.0
Rosemary's Baby,3200000.0,33395426.0,,,Roman Polanski,98.0,8.1,50860.0
Rebecca,1288000.0,6000000.0,MGM,Drama,Alfred Hitchcock,100.0,8.4,35429.0
Robin Hood: Prince of Thieves,50000000.0,390500000.0,Warner Bros.,Adventure,Kevin Reynolds,56.0,6.7,54480.0
Rumble in the Bronx,7500000.0,36238752.0,New Line,Action,,,,
Rob Roy,28000000.0,31390587.0,MGM,Drama,Michael Caton-Jones,71.0,6.8,15630.0
Raging Bull,18000000.0,23380203.0,MGM,Drama,Martin Scorsese,98.0,8.4,90015.0
Richard III,9200000.0,4204857.0,MGM,Drama,,95.0,7.5,6625.0
Raising Cain,11000000.0,21171695.0,Universal,Thriller/Suspense,Brian De Palma,53.0,5.7,5135.0
RoboCop,13000000.0,53424681.0,Orion Pictures,Action,Paul Verhoeven,88.0,7.6,52898.0
RoboCop 3,22000000.0,10696210.0,Orion Pictures,Action,,,3.4,13310.0
RiÂ¢hie RiÂ¢h,40000000.0,38087756.0,Warner Bros.,Comedy,Donald Petrie,25.0,4.7,12687.0
Radio Days,16000000.0,14792779.0,Orion Pictures,Comedy,Woody Allen,95.0,7.5,10839.0
Radio Flyer,35000000.0,4651977.0,Sony Pictures,Drama,Richard Donner,43.0,6.5,6210.0
Reservoir Dogs,1200000.0,2832029.0,Miramax,,Quentin Tarantino,96.0,8.4,212985.0
Raiders of the Lost Ark,20000000.0,386800358.0,Paramount Pictures,Adventure,Steven Spielberg,,8.7,242661.0
Red River,3000000.0,9012000.0,,,Howard Hawks,100.0,7.8,10629.0
Reds,33500000.0,50000000.0,Paramount Pictures,Drama,Warren Beatty,94.0,7.4,8455.0
Le Violon rouge,10000000.0,10019109.0,Lionsgate,Drama,,,7.7,14545.0
Red Sonja,17900000.0,6905861.0,MGM,Action,Richard Fleischer,20.0,4.4,11896.0
Star Wars Ep. VI: Return of the Jedi,32500000.0,572700000.0,20th Century Fox,Adventure,Richard Marquand,,,
The Return,15000000.0,2658490.0,Kino International,Drama,,,2.3,236.0
The Rise and Fall of Miss Thang,10000.0,401.0,Lavender House Films,Drama,,,,
Roger & Me,140000.0,6706368.0,Warner Bros.,Documentary,Michael Moore,100.0,7.5,14883.0
The Right Stuff,27000000.0,21500000.0,Warner Bros.,Action,Philip Kaufman,97.0,7.9,24275.0
The Rocky Horror Picture Show,1200000.0,139876417.0,20th Century Fox,Musical,,77.0,7.1,41265.0
Road House,10000000.0,30050028.0,United Artists,Action,,44.0,5.8,14085.0
Romeo Is Bleeding,10000000.0,3275585.0,Gramercy,Drama,,24.0,6.3,6537.0
Rockaway,2000000.0,0.0,Off-Hollywood Distribution,Drama,,,4.2,232.0
Rocky,1000000.0,225000000.0,MGM,,John G. Avildsen,,4.0,84.0
Return of the Living Dead Part II,6200000.0,9205924.0,Lorimar Motion Pictures,Horror,,,5.1,4661.0
The R.M.,500000.0,1111615.0,Halestone,Comedy,,64.0,5.5,449.0
Renaissance Man,40000000.0,24172899.0,Walt Disney Pictures,Comedy,Penny Marshall,,5.9,7650.0
Rambo: First Blood Part II,44000000.0,300400000.0,Sony/TriStar,Action,George P. Cosmatos,30.0,5.8,38548.0
Rambo III,58000000.0,188715611.0,Sony/TriStar,Action,,36.0,4.9,31551.0
Romeo+Juliet,14500000.0,147542381.0,20th Century Fox,Drama,Baz Luhrmann,,6.5,78.0
Ramanujan,20000000.0,0.0,,,Stephen Fry,,,
Rain Man,25000000.0,412800000.0,MGM,Comedy,Barry Levinson,87.0,8.0,106163.0
Rapa Nui,20000000.0,305070.0,,,Kevin Reynolds,,6.1,2081.0
Roar,17000000.0,2000000.0,,,,,5.9,228.0
The Robe,5000000.0,36000000.0,,,,38.0,6.7,2913.0
The Rock,75000000.0,336069511.0,Walt Disney Pictures,Action,Michael Bay,66.0,7.2,108324.0
The Remains of the Day,15000000.0,63954968.0,Sony/Columbia,Drama,James Ivory,97.0,7.9,21736.0
Airplane!,3500000.0,83453539.0,,Comedy,Jerry Zucker,98.0,7.8,57000.0
Repo Man,1500000.0,2300000.0,Universal,Comedy,,97.0,6.7,12438.0
Rocket Singh: Salesman of the Year,1070000.0,5348767.0,Yash Raj Films,,,,7.5,1436.0
Raise the Titanic,40000000.0,7000000.0,,,,60.0,3.9,1757.0
Restoration,18000000.0,4100000.0,Miramax,Drama,,,6.5,4024.0
The Return of the Living Dead,4000000.0,14237880.0,Orion Pictures,Horror,,88.0,7.1,13621.0
Rejsen til Saturn,2700000.0,2783634.0,,Comedy,,,5.9,849.0
Return to the Land of Wonders,5000.0,1338.0,Arab Film Distribution,Documentary,,,8.5,35.0
Return to Oz,27000000.0,10618813.0,Walt Disney Pictures,Adventure,,55.0,6.7,7491.0
The Running Man,30000000.0,38122000.0,Sony/TriStar,Action,Paul Michael Glaser,63.0,6.4,36308.0
Run Lola Run,1750000.0,14533173.0,Sony Pictures,Thriller/Suspense,Tom Tykwer,,6.0,91.0
Revolution#9,350000.0,9118.0,,Thriller/Suspense,,,7.3,252.0
The River Wild,45000000.0,94215000.0,Universal,Action,Curtis Hanson,56.0,6.2,14285.0
Se7en,30000000.0,328125643.0,New Line,Thriller/Suspense,David Fincher,,8.7,278918.0
Safe Men,1000000.0,21210.0,October Films,,,58.0,5.9,1743.0
Secrets & Lies,4500000.0,13417292.0,October Films,Drama,Mike Leigh,94.0,7.9,14364.0
Sgt. Bilko,39000000.0,37956589.0,Universal,Comedy,,33.0,5.2,9693.0
Sabrina,58000000.0,87100000.0,Paramount Pictures,Romantic Comedy,Sydney Pollack,61.0,6.0,15749.0
Subway,2000000.0,1663296.0,Island/Alive,Drama,Luc Besson,86.0,6.2,5904.0
School Daze,6000000.0,14545844.0,Sony Pictures,Drama,Spike Lee,58.0,5.3,2667.0
Scarface,25000000.0,44942821.0,Universal,Drama,Brian De Palma,88.0,8.2,152262.0
Schindler's List,25000000.0,321200000.0,Universal,Drama,Steven Spielberg,97.0,8.9,276283.0
A Streetcar Named Desire,1800000.0,8000000.0,Warner Bros.,,Elia Kazan,,8.1,33781.0
Shadow Conspiracy,45000000.0,2154540.0,Walt Disney Pictures,Thriller/Suspense,George P. Cosmatos,,4.7,2427.0
Short Cut to Nirvana: Kumbh Mela,200000.0,439651.0,Mela Films,Documentary,,75.0,6.9,105.0
Spartacus,12000000.0,60000000.0,Universal,Action,Stanley Kubrick,96.0,8.0,50856.0
Sunday,450000.0,450349.0,,Drama,,79.0,6.9,436.0
She Done Him Wrong,200000.0,2000000.0,,,,100.0,6.7,1795.0
"Secret, The",3500000.0,0.0,,Documentary,,,,
Sea Rex 3D: Journey to a Prehistoric World,5000000.0,0.0,3D Entertainment,,,,,
State Fair,4500000.0,3500000.0,,,,14.0,5.7,436.0
Sticky Fingers of Time,250000.0,20628.0,Strand,Thriller/Suspense,,,,
Stargate - The Ark of Truth,7000000.0,0.0,,Action,,,,
She's Gotta Have It,175000.0,7137502.0,Island,Comedy,Spike Lee,93.0,6.2,2594.0
Stargate,55000000.0,196565669.0,MGM,Action,Roland Emmerich,46.0,6.7,47174.0
The Shadow,40000000.0,31835600.0,Universal,Action,Russell Mulcahy,34.0,5.6,9530.0
Show Boat,2300000.0,11000000.0,,,,89.0,6.9,1788.0
Shadowlands,22000000.0,25842377.0,Savoy,Drama,Sir Richard Attenborough,96.0,7.4,7689.0
Shanghai Surprise,17000000.0,2315000.0,MGM,,,14.0,2.6,2591.0
Shalako,1455000.0,2620000.0,,,,,5.3,1090.0
Sheena,25000000.0,5778353.0,Sony/Columbia,Adventure,John Guillermin,38.0,4.3,1598.0
Shine,5500000.0,35811509.0,Fine Line,Drama,Scott Hicks,90.0,7.6,22439.0
The Shining,19000000.0,44017374.0,Warner Bros.,Horror,Stanley Kubrick,87.0,8.5,177762.0
Haakon Haakonsen,8500000.0,15024232.0,Walt Disney Pictures,Adventure,,,6.4,1125.0
Ishtar,40000000.0,14375181.0,Sony Pictures,Comedy,,19.0,3.7,6094.0
Showgirls,40000000.0,20254932.0,MGM,Drama,Paul Verhoeven,12.0,4.1,27004.0
The Shawshank Redemption,25000000.0,28241469.0,Sony Pictures,Drama,Frank Darabont,88.0,9.2,519541.0
Silver Bullet,7000000.0,10803211.0,Paramount Pictures,Horror,,50.0,5.9,6387.0
Side Effects,200000.0,44701.0,Sky Island,Romantic Comedy,,11.0,,
Set It Off,9000000.0,36049108.0,New Line,Drama,F. Gary Gray,61.0,6.3,4570.0
The Silence of the Lambs,20000000.0,275726716.0,Orion Pictures,Thriller/Suspense,Jonathan Demme,96.0,8.7,244856.0
Silver Medalist,2600000.0,0.0,,Black Comedy,,,,
Silent Trigger,15000000.0,76382.0,,,Russell Mulcahy,,5.2,1364.0
Thinner,14000000.0,15171475.0,Paramount Pictures,Horror,,18.0,5.3,7888.0
Sling Blade,4833610.0,34175000.0,Miramax,Drama,,96.0,8.0,41785.0
Slacker,23000.0,1227508.0,,,Richard Linklater,83.0,6.9,5907.0
Some Like it Hot,2883848.0,25000000.0,,,Billy Wilder,97.0,8.3,67157.0
The Scarlet Letter,50000000.0,10359006.0,Walt Disney Pictures,Drama,Roland Joffe,15.0,4.6,6155.0
Silmido,8500000.0,30298347.0,Cinema Service,Action,,,7.1,1724.0
Sleeper,2000000.0,18344729.0,MGM,Comedy,Woody Allen,100.0,7.3,15466.0
Sleepers,44000000.0,165600852.0,Warner Bros.,Drama,Barry Levinson,73.0,7.3,51874.0
The Slaughter Rule,500000.0,13134.0,,,,,6.0,1136.0
Solomon and Sheba,5000000.0,11000000.0,,,King Vidor,,6.0,915.0
Sur Le Seuil,2500000.0,2013052.0,Alliance,Drama,,,6.7,585.0
The Usual Suspects,6000000.0,23341568.0,Gramercy,Drama,Bryan Singer,87.0,8.7,266890.0
Silverado,26000000.0,33200000.0,Sony/Columbia,Western,Lawrence Kasdan,76.0,7.0,14243.0
Salvador,4500000.0,1500000.0,Hemdale,Drama,,91.0,7.5,7797.0
"Sex, Lies, and Videotape",1200000.0,36741667.0,Miramax,,Steven Soderbergh,97.0,,
Show Me,400000.0,0.0,Wolfe Releasing,Thriller/Suspense,,,5.9,288.0
Simon,1300000.0,4055.0,Strand,Comedy,,,8.0,4873.0
Super Mario Bros.,42000000.0,20844907.0,Walt Disney Pictures,Action,,,3.8,17281.0
Somewhere in Time,5100000.0,9709597.0,Universal,Drama,,63.0,7.0,8787.0
Smoke Signals,2000000.0,7756617.0,Miramax,Comedy,,86.0,6.9,5058.0
Serial Mom,13000000.0,7881335.0,Savoy,Comedy,John Waters,61.0,6.4,10999.0
Sommersturm,3000000.0,95204.0,Regent Releasing,Drama,,,7.6,5251.0
Silent Movie,4400000.0,36145695.0,20th Century Fox,Comedy,Mel Brooks,89.0,6.4,6248.0
The Santa Clause,22000000.0,189800000.0,Walt Disney Pictures,Comedy,John Pasquin,79.0,6.1,17773.0
The Singles Ward,500000.0,1250798.0,Halestorm Entertainment,Comedy,,50.0,5.7,736.0
Sense and Sensibility,16500000.0,134993774.0,Sony Pictures,Drama,Ang Lee,98.0,7.7,31279.0
Singin' in the Rain,2540000.0,3600000.0,MGM,,Stanley Donen,100.0,8.4,55352.0
Solitude,200000.0,6260.0,Indican Pictures,Drama,,,4.8,82.0
The Sound of Music,8200000.0,286214286.0,20th Century Fox,Musical,Robert Wise,81.0,6.3,45.0
She's the One,3500000.0,13795053.0,Fox Searchlight,Romantic Comedy,Edward Burns,60.0,6.0,8159.0
Straight out of Brooklyn,450000.0,2712293.0,,,,100.0,5.6,263.0
Spaceballs,22700000.0,38119483.0,MGM,Comedy,Mel Brooks,65.0,6.9,52434.0
Speed,30000000.0,283200000.0,20th Century Fox,Action,Jan De Bont,90.0,2.6,4175.0
Species,35000000.0,113354449.0,MGM,Action,Roger Donaldson,39.0,5.6,21917.0
Sphinx,10000000.0,11400000.0,Orion Pictures,Thriller/Suspense,Franklin J. Schaffner,,4.9,478.0
Spaced Invaders,3000000.0,15000000.0,Walt Disney Pictures,Comedy,Patrick Read Johnson,9.0,4.8,1464.0
Spellbound,1500000.0,7000000.0,ThinkFilm,,Alfred Hitchcock,87.0,7.7,14665.0
Splash,8000000.0,62599495.0,Walt Disney Pictures,Comedy,Ron Howard,91.0,6.2,21732.0
Superman IV: The Quest for Peace,17000000.0,11227824.0,Warner Bros.,Action,Sidney J. Furie,,3.4,15164.0
Superman II,50000000.0,108185706.0,Warner Bros.,Adventure,Richard Donner,,6.7,29512.0
Superman III,39000000.0,59950623.0,Warner Bros.,Adventure,,23.0,4.7,18070.0
Sparkler,1000000.0,5494.0,Strand,,,17.0,5.5,320.0
Superman,55000000.0,300200000.0,Warner Bros.,Adventure,Richard Donner,94.0,4.9,129.0
The Specialist,45000000.0,57362581.0,Warner Bros.,Action,,4.0,4.9,18749.0
The Sorcerer,21600000.0,12000000.0,,,William Friedkin,,6.8,563.0
Sisters in Law,300000.0,33312.0,Women Make Movies,Documentary,,,6.7,203.0
Smilla's Sense of Snow,35000000.0,2221994.0,Fox Searchlight,Thriller/Suspense,Bille August,53.0,6.1,7280.0
Assassins,50000000.0,83306268.0,Warner Bros.,Action,Richard Donner,9.0,5.9,23370.0
Star Trek: The Motion Picture,35000000.0,139000000.0,Paramount Pictures,Adventure,Robert Wise,48.0,6.2,25454.0
Star Trek III: The Search for Spock,18000000.0,87000000.0,Paramount Pictures,Adventure,Leonard Nimoy,,6.5,22261.0
Star Trek IV: The Voyage Home,24000000.0,133000000.0,Paramount Pictures,Adventure,Leonard Nimoy,,7.3,26207.0
Stand by Me,8000000.0,52287414.0,Sony/Columbia,Drama,Rob Reiner,94.0,8.2,90143.0
Stone Cold,25000000.0,9286314.0,Sony Pictures,Action,,29.0,4.6,52.0
The Stewardesses,200000.0,25000000.0,,,,,4.3,86.0
Street Fighter,35000000.0,99423000.0,Universal,Action,,13.0,3.3,25407.0
Star Trek II: The Wrath of Khan,12000000.0,96800000.0,Paramount Pictures,Adventure,,,7.8,36131.0
Steal (Canadian Release),15000000.0,220944.0,,,,,,
The Sting,5500000.0,159616327.0,Universal,,George Roy Hill,91.0,8.4,65866.0
Stonewall,2000000.0,304602.0,Strand,Drama,,,7.0,741.0
Star Trek V: The Final Frontier,30000000.0,70200000.0,Paramount Pictures,Action,,,5.0,20600.0
Star Trek VI: The Undiscovered Country,27000000.0,96900000.0,Paramount Pictures,Action,,,7.2,23546.0
Star Trek: Generations,38000000.0,120000000.0,Paramount Pictures,Adventure,,,6.5,26465.0
Stripes,10000000.0,85300000.0,Sony Pictures,Comedy,Ivan Reitman,88.0,6.8,19618.0
Striptease,50000000.0,32773011.0,Sony Pictures,Comedy,Andrew Bergman,12.0,3.9,18012.0
Star Wars Ep. IV: A New Hope,11000000.0,797900000.0,20th Century Fox,Adventure,George Lucas,,,
Saints and Soldiers,780000.0,1310470.0,Excel Entertainment,Drama,Ryan Little,,7.0,7581.0
Steppin: The Movie,1000000.0,0.0,Weinstein Co.,Comedy,,,3.3,108.0
Strangers on a Train,1200000.0,7000000.0,Warner Bros.,,Alfred Hitchcock,98.0,8.3,34284.0
Sugar Hill,10000000.0,18272447.0,20th Century Fox,Drama,,22.0,5.3,1627.0
Stiff Upper Lips,5700000.0,69582.0,Cowboy Pictures,,,29.0,6.1,543.0
Shichinin no samurai,500000.0,271736.0,Cowboy Pictures,Action,Akira Kurosawa,,8.8,96698.0
Sweet Charity,20000000.0,8000000.0,,,Bob Fosse,,7.0,1691.0
Sands of Iwo Jima,1000000.0,7800000.0,,,,100.0,7.1,4160.0
The Spy Who Loved Me,14000000.0,185400000.0,MGM,Action,,78.0,7.1,24938.0
The Swindle,10000000.0,5045359.0,New Yorker,Comedy,,,5.2,1417.0
Swingers,200000.0,6542637.0,Miramax,Comedy,Doug Liman,86.0,6.2,431.0
Snow White and the Seven Dwarfs,1488000.0,184925485.0,Walt Disney Pictures,Musical,,97.0,7.8,38141.0
The Sweet Hereafter,5000000.0,4306697.0,Fine Line,Drama,Atom Egoyan,100.0,7.8,16280.0
She Wore a Yellow Ribbon,1600000.0,5400000.0,,,John Ford,100.0,7.3,5825.0
Sex with Strangers,1100000.0,247740.0,,Documentary,,39.0,5.0,151.0
Spy Hard,18000000.0,26936265.0,Walt Disney Pictures,Comedy,,7.0,4.7,12682.0
Shi Yue Wei Cheng,23000000.0,44195779.0,,,,,6.9,1795.0
Tango,4500000.0,1687311.0,Sony Pictures Classics,Drama,,,6.9,1490.0
The Age of Innocence,34000000.0,32014993.0,Sony/Columbia,Drama,Martin Scorsese,81.0,7.1,16000.0
Talk Radio,4000000.0,3468572.0,Universal,Drama,Oliver Stone,80.0,7.0,5659.0
The Texas Chainsaw Massacre,140000.0,26572439.0,New Line,Horror,Tobe Hooper,90.0,6.1,39172.0
The Texas Chainsaw Massacre 2,4700000.0,8025872.0,Cannon,Horror,Tobe Hooper,43.0,5.1,7702.0
Timecop,28000000.0,102053581.0,Universal,Action,Peter Hyams,47.0,5.5,16570.0
Tin Cup,45000000.0,75854588.0,Warner Bros.,Romantic Comedy,Ron Shelton,69.0,6.1,17274.0
Torn Curtain,3000000.0,13000000.0,,,Alfred Hitchcock,81.0,6.6,8670.0
To Die For,20000000.0,27688744.0,Sony Pictures,Black Comedy,Gus Van Sant,87.0,6.8,18459.0
Terror Train,3500000.0,8000000.0,,,Roger Spottiswoode,33.0,5.5,2479.0
Teen Wolf Too,3000000.0,7888000.0,Atlantic,Comedy,,14.0,2.8,5207.0
The Fan,55000000.0,18582965.0,Sony Pictures,Thriller/Suspense,Tony Scott,40.0,5.6,20640.0
Timber Falls,2600000.0,0.0,Slowhand Cinema,Horror,,38.0,5.3,2213.0
Tae Guik Gi: The Brotherhood of War,12500000.0,69826708.0,IDP Distribution,Drama,,,,
The Incredibly True Adventure of Two Girls in Love,250000.0,2477155.0,Fine Line,Drama,,,5.8,1795.0
There Goes My Baby,10500000.0,125169.0,Orion Pictures,Comedy,,,6.3,507.0
Tank Girl,25000000.0,4064333.0,MGM,Action,,42.0,4.7,10772.0
Top Gun,15000000.0,353786701.0,Paramount Pictures,Action,Tony Scott,45.0,6.5,80013.0
Thunderball,9000000.0,141200000.0,MGM,Action,,91.0,7.0,27245.0
The Calling,2500000.0,0.0,,,,,3.4,1113.0
The Craft,15000000.0,55669466.0,Sony Pictures,Thriller/Suspense,Andrew Fleming,45.0,5.9,21130.0
It Happened One Night,325000.0,2500000.0,,Romantic Comedy,Frank Capra,97.0,8.3,25074.0
The Net,22000000.0,110521733.0,Sony Pictures,Thriller/Suspense,,33.0,5.6,24363.0
La otra conquista,3500000.0,886410.0,Hombre de Oro,Drama,,,6.1,584.0
The Journey,500000.0,19800.0,,,,,4.4,74.0
They Live,4000000.0,13000000.0,Universal,Thriller/Suspense,John Carpenter,88.0,7.0,20995.0
Tales from the Hood,6000000.0,11784569.0,Savoy,Horror,,33.0,5.8,1860.0
Time Bandits,12000000.0,37400000.0,Avco Embassy,Adventure,Terry Gilliam,94.0,6.9,22719.0
Tombstone,25000000.0,56505000.0,Walt Disney Pictures,Western,George P. Cosmatos,77.0,7.7,43688.0
Time Changer,825000.0,1500711.0,Five & Two Pictures,Drama,,22.0,5.0,1029.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,25000000.0,78656813.0,New Line,Adventure,,,5.3,12742.0
Teenage Mutant Ninja Turtles III,21000000.0,42273609.0,New Line,Adventure,,30.0,4.3,9064.0
Tango & Cash,55000000.0,63408614.0,Warner Bros.,Action,Andrei Konchalovsky,39.0,5.8,25248.0
Teenage Mutant Ninja Turtles,13500000.0,202000000.0,New Line,Adventure,Steve Barron,,6.4,25867.0
Topaz,4000000.0,6000000.0,Universal,,Alfred Hitchcock,71.0,6.2,6389.0
Taps,14000000.0,35856053.0,20th Century Fox,Drama,Harold Becker,79.0,6.5,6515.0
Trainspotting,3100000.0,24000785.0,Miramax,Drama,Danny Boyle,89.0,8.2,150483.0
The Train,5800000.0,6800000.0,,,John Frankenheimer,83.0,7.8,4692.0
Troop Beverly Hills,18000000.0,7190505.0,Sony/Columbia,Comedy,,8.0,4.7,3427.0
Trekkies,375000.0,617172.0,Paramount Pictures,Documentary,,,6.9,3004.0
True Lies,100000000.0,365300000.0,20th Century Fox,Action,James Cameron,69.0,7.2,80581.0
Terminator 2: Judgment Day,100000000.0,516816151.0,Sony Pictures,Action,James Cameron,98.0,8.5,237477.0
Travellers and Magicians,1800000.0,1058893.0,Zeitgeist,Drama,,,7.4,1069.0
The Terminator,6400000.0,78019031.0,Orion Pictures,Action,James Cameron,100.0,8.1,179606.0
Tremors,10000000.0,16667084.0,Universal,Action,,88.0,7.2,29840.0
True Romance,12500000.0,12281000.0,Warner Bros.,Thriller/Suspense,Tony Scott,91.0,7.9,73829.0
Tron,17000000.0,26918576.0,Walt Disney Pictures,Action,,68.0,2.9,923.0
Trapeze,4000000.0,14400000.0,,,,60.0,6.7,1570.0
The Terrorist,25000.0,195043.0,Phaedra Cinema,,,,5.5,50.0
Trois,200000.0,1161843.0,Rainforest Productions,Thriller/Suspense,,,3.3,360.0
Things to Do in Denver when You're Dead,15000000.0,529766.0,Miramax,Black Comedy,,33.0,6.6,12789.0
A Time to Kill,40000000.0,152266007.0,Warner Bros.,Drama,Joel Schumacher,68.0,7.1,38577.0
Total Recall,65000000.0,261400000.0,Sony Pictures,Action,Paul Verhoeven,81.0,7.4,70355.0
This Thing of Ours,2000000.0,37227.0,,Drama,,,5.2,316.0
Tootsie,15000000.0,177200000.0,Sony Pictures,Comedy,Sydney Pollack,87.0,7.4,31669.0
That Thing You Do!,2500000.0,31748615.0,20th Century Fox,Drama,Tom Hanks,92.0,6.7,25916.0
The Trouble With Harry,1200000.0,7000000.0,Paramount Pictures,,Alfred Hitchcock,89.0,7.2,11580.0
Twins,15000000.0,216600000.0,Universal,Comedy,Ivan Reitman,33.0,,
Twister,88000000.0,495900000.0,Warner Bros.,Action,Jan De Bont,57.0,6.0,61665.0
Towering Inferno,14000000.0,139700000.0,20th Century Fox,,John Guillermin,,,
Taxi Driver,1000000.0,21100000.0,Sony Pictures,Drama,Martin Scorsese,98.0,8.6,155774.0
Tycoon,5000000.0,121016.0,,,,,6.0,456.0
Toy Story,30000000.0,361948825.0,Walt Disney Pictures,Adventure,John Lasseter,100.0,8.2,151143.0
Twilight Zone: The Movie,10000000.0,29500000.0,Warner Bros.,Horror,Steven Spielberg,67.0,6.3,12054.0
Unforgettable,18000000.0,2483790.0,MGM,Thriller/Suspense,John Dahl,23.0,5.7,2284.0
UHF,5000000.0,6157157.0,,,,55.0,6.6,12676.0
Ulee's Gold,2700000.0,15600000.0,Orion Pictures,Drama,,94.0,7.0,4041.0
Under Siege 2: Dark Territory,60000000.0,104324083.0,Warner Bros.,Action,,34.0,5.1,15218.0
The Untouchables,25000000.0,76270454.0,Paramount Pictures,Action,Brian De Palma,81.0,8.0,86097.0
Under the Rainbow,20000000.0,18826490.0,Warner Bros.,Comedy,,,4.9,1263.0
Veer-Zaara,7000000.0,7017859.0,Yash Raj Films,Drama,,,7.3,4155.0
Videodrome,5952000.0,2120439.0,Universal,Horror,David Cronenberg,,7.3,20080.0
Les Visiteurs,7000000.0,98754000.0,Miramax,Comedy,,,6.7,7393.0
"Couloirs du temps: Les visiteurs 2, Les",20000000.0,26146072.0,,Comedy,,,,
The Valley of Decision,2160000.0,9132000.0,,,,,7.3,682.0
Vampire in Brooklyn,14000000.0,19637147.0,Paramount Pictures,Horror,Wes Craven,11.0,4.3,8200.0
The Verdict,16000000.0,53977250.0,20th Century Fox,Drama,Sidney Lumet,96.0,7.7,10864.0
Virtuosity,30000000.0,23998226.0,Paramount Pictures,Action,,34.0,5.3,11079.0
Everything Put Together,500000.0,0.0,,,,,6.7,418.0
A View to a Kill,30000000.0,152627960.0,MGM,Action,John Glen,39.0,6.1,23770.0
The Work and the Glory: American Zion,6500000.0,2025032.0,Vineyard Distribution,Drama,,,5.6,365.0
A Walk on the Moon,14000000.0,4741987.0,Miramax,Drama,Tony Goldwyn,74.0,6.4,4125.0
The Work and the Glory,7500000.0,3347647.0,Excel Entertainment,Drama,,17.0,6.0,531.0
The Work and the Story,103000.0,16137.0,Off-Hollywood Distribution,Comedy,,,5.1,82.0
What the #$'! Do We Know,4000000.0,10941801.0,Captured Light,Documentary,,,,
Waiting for Guffman,4000000.0,2922988.0,Sony Pictures Classics,Comedy,Christopher Guest,,7.4,14880.0
Who Framed Roger Rabbit?,70000000.0,351500000.0,Walt Disney Pictures,Comedy,Robert Zemeckis,98.0,7.6,53541.0
White Fang,14000000.0,34729091.0,Walt Disney Pictures,Adventure,Randal Kleiser,67.0,,
White Squall,38000000.0,10229300.0,Walt Disney Pictures,Adventure,Ridley Scott,63.0,6.4,8385.0
What's Eating Gilbert Grape,11000000.0,9170214.0,Paramount Pictures,Drama,Lasse Hallstrom,88.0,7.8,51219.0
Witchboard,2000000.0,7369373.0,Cinema Guild,Horror,,,5.2,1666.0
The Wiz,24000000.0,13000000.0,,Musical,Sidney Lumet,37.0,4.5,4896.0
Walking and Talking,1000000.0,1615787.0,Miramax,Romantic Comedy,,86.0,6.5,1756.0
The Wild Bunch,6000000.0,509424.0,Warner Bros.,Western,Sam Peckinpah,97.0,8.2,31196.0
Wall Street,15000000.0,43848100.0,20th Century Fox,Drama,Oliver Stone,78.0,7.3,35454.0
Waterloo,25000000.0,,,,,,,
The Wrong Man,1200000.0,2000000.0,Warner Bros.,,Alfred Hitchcock,89.0,7.5,7531.0
Woman Chaser,150000.0,110719.0,,,,,,
Wings,2000000.0,,,,,96.0,7.9,3035.0
We're No Angels,20000000.0,10555348.0,Paramount Pictures,Comedy,Neil Jordan,50.0,5.6,7839.0
Wolf,70000000.0,131011757.0,Sony Pictures,Thriller/Suspense,Mike Nichols,60.0,6.0,20035.0
Warriors of Virtue,35000000.0,6448817.0,MGM,Action,Ronny Yu,10.0,4.0,1202.0
War Games,12000000.0,74433837.0,MGM,Thriller/Suspense,John Badham,,6.4,88.0
Warlock,7000000.0,8824553.0,Trimark,Horror,Steve Miner,,5.9,4921.0
War and Peace,6000000.0,12500000.0,,,King Vidor,50.0,6.8,2923.0
Warlock: The Armageddon,3000000.0,3902679.0,Trimark,Horror,,,4.9,1888.0
Wasabi,15300000.0,7000000.0,Sony Pictures,,,,6.5,11647.0
West Side Story,6000000.0,43700000.0,,,Robert Wise,92.0,7.7,29488.0
When The Cat's Away,300000.0,2525984.0,Sony Pictures Classics,Comedy,,,,
Welcome to the Dollhouse,800000.0,4726732.0,Sony Pictures Classics,Comedy,Todd Solondz,,7.3,13469.0
Witness,12000000.0,65532576.0,Paramount Pictures,Thriller/Suspense,Peter Weir,94.0,7.6,30460.0
